icrogid	uid	hgnc_symbol	entrezgene	ensembl_gene_id
4123089	5232295	MOV10	4343	ENSG00000155363
2573936	2573936	MOXD1	26002	ENSG00000079931
2277126	2277126	MPC1	51660	ENSG00000060762
4062452	4062452	MPC2	25874	ENSG00000143158
1952848	1954208	MPDU1	9526	ENSG00000129255
3653750	5364654	MPDZ	8777	ENSG00000107186
1566579	3335469	MPG	4350	ENSG00000103152
4877534	4877534	MPHOSPH10	10199	ENSG00000124383
1176463	4972844	MPHOSPH6	10200	ENSG00000135698
967510	2334209	MPHOSPH8	54737	ENSG00000196199
3321282	606258	MPHOSPH9	10198	ENSG00000051825
4222539	2068280	MPI	4351	ENSG00000178802
629180	3976855	MPL	4352	ENSG00000117400
38850902	3103213	MPLKIP	136647	ENSG00000168303
3554005	3554005	MPND	84954	ENSG00000008382
4066483	1272179	MPO	4353	ENSG00000005381
1188585	3308778	MPP1	4354	ENSG00000130830
14007032	2721163	MPP2	4355	ENSG00000108852
4454860	1085405	MPP3	4356	ENSG00000161647
4768788	4572559	MPP4	58538	ENSG00000082126
4572559	3412833	MPP5	64398	ENSG00000072415
2445225	3767375	MPP6	51678	ENSG00000105926
3793936	2068280	MPP7	143098	ENSG00000150054
3415638	3415638	MPPE1	65258	ENSG00000154889
698049	5309392	MPPED1	758	ENSG00000186732
657632	4590798	MPPED2	744	ENSG00000066382
5349334	3909139	MPRIP	23164	ENSG00000133030
2530242	4121257	MPST	4357	ENSG00000128309
50228970	1785064	MPV17	4358	ENSG00000115204
53225037	53225037	MPV17L	255027	ENSG00000275543
36800268	2068280	MPV17L2	84769	ENSG00000254858
3431349	5029749	MPZ	4359	ENSG00000158887
3191968	5369795	MPZL1	9019	ENSG00000197965
5070751	2869038	MPZL2	10205	ENSG00000149573
24996357	5070751	MPZL3	196264	ENSG00000160588
22828123	3475688	MR1	3140	ENSG00000153029
2630256	4338246	MRAP	56246	ENSG00000170262
1733948	4338246	MRAP2	112609	ENSG00000135324
3974092	4771277	MRAS	22808	ENSG00000158186
1533411	2841951	MRC1	4360	ENSG00000260314
9768969	1124639	MRC2	9902	ENSG00000011028
1886948	5118809	MRE11A	4361	ENSG00000020922
29918511	2068280	MREG	55686	ENSG00000118242
3762388	4863907	MRFAP1	93621	ENSG00000179010
2187585	5160665	MRFAP1L1	114932	ENSG00000178988
513841	4465993	MRGBP	55257	ENSG00000101189
3878819	5228967	MRGPRX1	259249	ENSG00000170255
3552581	3552581	MRGPRX2	117194	ENSG00000183695
1242240	5124507	MRI1	84245	ENSG00000037757
4058965	4058965	MRM1	79922	ENSG00000278619
33443824	33443824	MROH1	727957	ENSG00000179832
9442433	9442433	MROH2B	133558	ENSG00000171495
38377539	5292122	MROH5	389690	ENSG00000282181
38706120	2068280	MROH6	642475	ENSG00000204839
42256371	42256371	MROH8	140699	ENSG00000101353
3985167	4469210	MRPL1	65008	ENSG00000169288
591684	5413309	MRPL10	124995	ENSG00000159111
1787765	5017858	MRPL11	65003	ENSG00000174547
3924799	4920113	MRPL12	6182	ENSG00000262814
3613967	2981808	MRPL13	28998	ENSG00000172172
2461566	2677230	MRPL14	64928	ENSG00000180992
1713870	3924799	MRPL15	29088	ENSG00000137547
627258	813953	MRPL16	54948	ENSG00000166902
946604	4563875	MRPL17	63875	ENSG00000158042
3108647	3202784	MRPL18	29074	ENSG00000112110
575672	1393325	MRPL19	9801	ENSG00000115364
5017858	5017858	MRPL2	51069	ENSG00000112651
4819293	2186087	MRPL20	55052	ENSG00000242485
1124295	1124295	MRPL21	219927	ENSG00000197345
3238242	2068280	MRPL22	29093	ENSG00000082515
314149	4461253	MRPL23	6150	ENSG00000214026
4271060	14007652	MRPL24	79590	ENSG00000143314
4166851	2068280	MRPL27	51264	ENSG00000108826
3864237	4774675	MRPL28	10573	ENSG00000086504
2605405	4889149	MRPL3	11222	ENSG00000114686
1187753	1848068	MRPL30	51263	ENSG00000185414
1046885	370352	MRPL32	64983	ENSG00000106591
913142	913142	MRPL33	9553	ENSG00000243147
3159287	2186087	MRPL34	64981	ENSG00000130312
3733710	2186087	MRPL35	51318	ENSG00000132313
3824490	4280011	MRPL36	64979	ENSG00000171421
3959388	607323	MRPL37	51253	ENSG00000116221
4325489	2253502	MRPL38	64978	ENSG00000204316
14007652	14007299	MRPL39	54148	ENSG00000154719
4469210	3170037	MRPL4	51073	ENSG00000105364
303996	1248877	MRPL40	64976	ENSG00000185608
305397	3157177	MRPL41	64975	ENSG00000182154
4981292	2238434	MRPL42	28977	ENSG00000198015
